Partido,Sede,OV_A,DV_A,MV_A,FA_A,OV_B,DV_B,MV_B,FA_B
México_vs_Sudáfrica,Ciudad de México (Altitud),84,73,227.99,1.0,53,46,23.4,0.8
Corea del Sur_vs_República Checa,Guadalajara (Altitud),76,59,185.5,0.85,68,66,165.3,0.85
Canadá_vs_Bosnia y Herzegovina,Toronto (Neutro),74,68,151.0,1.0,70,58,46.5,0.95
Estados Unidos_vs_Paraguay,Los Angeles (Neutro),80,74,387.3,1.0,73,72,115.4,0.95
Qatar_vs_Suiza,Santa Clara (Neutro),59,51,19.8,0.9,81,88,359.3,0.95
Brasil_vs_Marruecos,East Rutherford (Neutro),91,96,947.0,0.95,83,90,522.1,0.9
Haití_vs_Escocia,Foxborough (Neutro),45,39,7.8,0.95,70,67,178.9,0.95
Australia_vs_Turquía,Vancouver (Neutro),69,60,58.2,0.9,87,77,478.1,0.95
Alemania_vs_Curazao,Houston (Humedad/Calor),92,84,1010.0,0.85,42,36,9.5,0.95
Países Bajos_vs_Japón,Arlington (Techo Cerrado),93,85,782.5,0.95,78,79,275.6,0.9
Costa de Marfil_vs_Ecuador,Filadelfia (Neutro),80,70,547.5,0.9,86,81,385.65,0.95
Suecia_vs_Túnez,Guadalupe (Calor/Altitud Moderada),65,65,473.7,0.85,71,71,39.8,0.85
España_vs_Cabo Verde,Atlanta (Techo Cerrado),99,94,1360.0,0.95,47,41,16.2,0.9
Bélgica_vs_Egipto,Seattle (Neutro),85,76,589.9,0.95,64,62,49.1,0.9
Arabia Saudita_vs_Uruguay,Miami Gardens (Humedad/Calor),62,54,34.1,0.85,77,87,365.0,0.95
Irán_vs_Nueva Zelanda,Los Angeles (Neutro),71,75,53.6,0.9,51,45,14.7,0.9
Francia_vs_Senegal,East Rutherford (Neutro),98,99,1530.0,0.95,82,82,498.3,0.9
Irak_vs_Noruega,Foxborough (Neutro),49,43,11.3,0.9,81,64,754.2,0.95
Argentina_vs_Argelia,Kansas City (Calor),97,98,928.2,0.95,74,61,142.8,0.9
Austria_vs_Jordania,Santa Clara (Neutro),75,78,182.5,0.95,61,53,30.0,0.9
